Discussion_ID,Comment_ID,Author,Category,Markup_Body,Body,Created At,Last Edited At
D_kwDOJA-LVs4AUmsj,,dodyg,Announcements,- Read FAST design system https://www.fast.design/,Read FAST design system https://www.fast.design/,2023-07-14T07:46:24Z,
D_kwDOJA-LVs4AUmsj,DC_kwDOJA-LVs4AYm5L,tahermatar,Announcements,"### Done
Finished Assignment 5
### To be Done
Start in assignment 6
","Done
Finished Assignment 5
To be Done
Start in assignment 6",2023-07-14T15:07:33Z,2023-07-14T15:07:43Z
D_kwDOJA-LVs4AUmsj,DC_kwDOJA-LVs4AYnJ3,SandraHany,Announcements,"- Finished assignment 8.
- Read about FAST design system.","Finished assignment 8.
Read about FAST design system.",2023-07-14T17:18:38Z,2023-07-14T17:20:32Z
D_kwDOJA-LVs4AUmsj,DC_kwDOJA-LVs4AYnjC,Rofaydaaa,Announcements,"- Done with assignment 6,7, and 8","Done with assignment 6,7, and 8",2023-07-14T21:41:21Z,
D_kwDOJA-LVs4AUmsj,DC_kwDOJA-LVs4AYnkn,nourhanhelmy1,Announcements,"### Done
- Finished assignment 8
- Read FAST design system material","Done

Finished assignment 8
Read FAST design system material",2023-07-14T22:11:29Z,
D_kwDOJA-LVs4AUmsj,DC_kwDOJA-LVs4AYnu5,salma-ahmed9,Announcements,"- Read reviews on assignments 5,6 and 7 
- Fixed issues in assignments 5,6,7 and 8","Read reviews on assignments 5,6 and 7
Fixed issues in assignments 5,6,7 and 8",2023-07-15T01:58:04Z,
D_kwDOJA-LVs4AUk75,,dodyg,Assignments,"- Start from your assignment 7 code base
- Replace the `fetch` code with [HTMX](https://htmx.org/) instead and make the necessary adjustment at the backend as well 

Deadline: July 14 2023","Start from your assignment 7 code base
Replace the fetch code with HTMX instead and make the necessary adjustment at the backend as well

Deadline: July 14 2023",2023-07-12T07:58:57Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYjdf,MillaniaSameh,Assignments,"[repo](https://github.com/MillaniaSameh/SliverKey-Technologies-Internship/tree/main/Assignment%208%20-%20Current%20time%20service%20with%20HTMX/CurrentTimeWithHTMX)

### Screenshot
![10](https://github.com/silverkeytech/summer-2023/assets/76593662/fdc2891f-84de-404c-85d9-014c765b7e38)

### Code
![11](https://github.com/silverkeytech/summer-2023/assets/76593662/33230c72-c781-441e-b5e8-9f414e52d55a)
![12](https://github.com/silverkeytech/summer-2023/assets/76593662/6508a2c7-747b-4a55-b0d5-99d9f141d9cd)","repo
Screenshot

Code",2023-07-13T10:00:07Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYjpI,yehiatarek63,Assignments,"[Repo Link](https://github.com/yehiatarek63/Date-Service)
### Screenshots:
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/58f8d536-f64c-4052-ba1d-67a6df4d347f)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/c1cd21d3-aafc-46ec-b319-c4764fb01f3a)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/e0068082-68ec-435b-b818-5ebf664f21bf)
","Repo Link
Screenshots:",2023-07-13T11:18:57Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYlXy,salma-ahmed9,Assignments,"Here is the link to my [Repo](https://github.com/salma-ahmed9/CurrentTimeHTMX.git)
![sora1](https://github.com/silverkeytech/summer-2023/assets/93517375/e7eb81a2-c3b9-4987-b4c2-1f253e86ea1a)
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/39f98f5c-c88d-4bf7-89e5-ede116aeb949)
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/2761c367-f2a9-499d-974e-d50ccb1c5885)
",Here is the link to my Repo,2023-07-14T00:57:38Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYmu5,nourhanhelmy1,Assignments,"[Repo](https://github.com/nourhanhelmy1/CurrentTimeServiceHTMX-Assignment8.git)

<img width=""459"" alt=""Screenshot 2023-07-14 162522"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/bae0d6df-6f35-4891-93a5-3b632f7955b3"">

<img width=""422"" alt=""Screenshot 2023-07-14 164419"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/6b250591-e99c-4322-8a15-c65b31c8f0a4"">

<img width=""334"" alt=""Screenshot 2023-07-14 164438"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/7670594f-87ab-4df0-be0e-50959986d4d8"">
",Repo,2023-07-14T13:48:42Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYnJA,SandraHany,Assignments,"[Repo](https://github.com/SandraHany/HTMX-Current-Time-Service-)

![DTHTMx](https://github.com/silverkeytech/summer-2023/assets/67375539/0801dd52-9970-4cda-9ede-e442ba16568a)

![DTHTMX2](https://github.com/silverkeytech/summer-2023/assets/67375539/1f2e087a-aa89-445c-b705-cb286fb49d9b)


![DTHTMX3](https://github.com/silverkeytech/summer-2023/assets/67375539/613db2ff-d94e-4ac6-9b48-e76e1194e7f0)

",Repo,2023-07-14T17:10:48Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYnjA,Rofaydaaa,Assignments,"[Repo Link](https://github.com/Rofaydaaa/Current-Time-Service/tree/master)
The updated index.html
![image](https://github.com/silverkeytech/summer-2023/assets/125312170/6ab9a280-17dc-44d3-ad3a-750925f4c77e)

![image](https://github.com/silverkeytech/summer-2023/assets/125312170/14d186c2-39a0-438a-b964-e0efd68c3577)
","Repo Link
The updated index.html",2023-07-14T21:40:19Z,
D_kwDOJA-LVs4AUk75,DC_kwDOJA-LVs4AYnrB,YoussefDarwishh,Assignments,"[Repo](https://github.com/YoussefDarwishh/CurrentTimeServiceHTMX)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/d0135db8-5a50-45f8-ba3f-0a051be8083a)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/b843022b-6b10-4425-87ef-abbe38cf1ac9)
",Repo,2023-07-15T00:03:10Z,
D_kwDOJA-LVs4AUk7s,,dodyg,Assignments,"- Create index.html and put it in wwwroot
- Make sure to enable static file support in your application
- Create one GET API using Minimal API that return the current date and time
- In your `index.html`, use `fetch` to get the current date and time from the backend API and show it in a H2 tag.

Deadline: July 14 2023 ","Create index.html and put it in wwwroot
Make sure to enable static file support in your application
Create one GET API using Minimal API that return the current date and time
In your index.html, use fetch to get the current date and time from the backend API and show it in a H2 tag.

Deadline: July 14 2023",2023-07-12T07:55:43Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYh16,yehiatarek63,Assignments,"[Repo Link](https://github.com/yehiatarek63/Date-Service)
### Screenshots and code snippets:
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/f031590b-fd16-429f-8d87-057c5674d8d1)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/a00e0944-0213-4f46-972f-748f34965099)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/58ef5ece-85f7-4649-8fb2-e18e576a3f0d)
","Repo Link
Screenshots and code snippets:",2023-07-12T17:31:24Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYh5T,MillaniaSameh,Assignments,"[repo](https://github.com/MillaniaSameh/SliverKey-Technologies-Internship/tree/main/Assignment%207%20-%20Current%20time%20service/CurrentTimeService)

### Screenshot 
![1](https://github.com/silverkeytech/summer-2023/assets/76593662/6c179a3e-753a-414e-a858-c2798fedeace)
","repo
Screenshot",2023-07-12T17:59:32Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYiWA,salma-ahmed9,Assignments,"Here is the link to my [Repo](https://github.com/salma-ahmed9/CurrentTimeService.git)
### **Screenshot**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/557070c9-98ee-4958-9d4e-df85bec2d572)
","Here is the link to my Repo
Screenshot",2023-07-12T22:34:57Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYkGN,YoussefDarwishh,Assignments,"[Repo](https://github.com/YoussefDarwishh/CurrentTimeService)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/6a959056-371d-45f4-86c1-112fd7bcd756)
",Repo,2023-07-13T13:26:25Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYlEz,SandraHany,Assignments,"[Repo](https://github.com/SandraHany/Current-Time-Service)

![DT2](https://github.com/silverkeytech/summer-2023/assets/67375539/4829bf6f-f060-431f-8387-aa8088049875)
",Repo,2023-07-13T20:45:16Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYlIS,nourhanhelmy1,Assignments,"[Repo](https://github.com/nourhanhelmy1/CurrentTimeService-Assignment7.git)

<img width=""960"" alt=""Screenshot 2023-07-14 002043"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/e950a4d8-5178-4eaf-a250-be331f86bdfe"">
",Repo,2023-07-13T21:23:13Z,
D_kwDOJA-LVs4AUk7s,DC_kwDOJA-LVs4AYna4,Rofaydaaa,Assignments,"[Repo link](https://github.com/Rofaydaaa/Current-Time-Service)

https://github.com/silverkeytech/summer-2023/assets/125312170/69dd2bc2-1716-400f-b8cf-4bf3e37e7b5d

![image](https://github.com/silverkeytech/summer-2023/assets/125312170/78c2c758-956a-4ab7-a41f-0ce539e14949)
![image](https://github.com/silverkeytech/summer-2023/assets/125312170/41b984b6-c4d6-4d68-be75-f6f104bc80d2)

","Repo link

  
    
    

    ass7.mp4",2023-07-14T19:46:57Z,
D_kwDOJA-LVs4AUl2l,,dodyg,Announcements,- Add more entries to https://github.com/silverkeytech/summer-2023/discussions/72,Add more entries to #72,2023-07-13T08:01:35Z,2023-07-13T09:11:47Z
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYj0K,tahermatar,Announcements,"### To be Done
Read the documents for assignments 5,6,7 and 8 and start working on them","To be Done
Read the documents for assignments 5,6,7 and 8 and start working on them",2023-07-13T12:03:08Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYkDA,MillaniaSameh,Announcements,"- Fixed issues in assignment 6 and 7.
- Finished assignment 8.
- Gathering more data for [world-discovery](https://github.com/silverkeytech/world-discovery/wiki/Dataset).","Fixed issues in assignment 6 and 7.
Finished assignment 8.
Gathering more data for world-discovery.",2023-07-13T13:08:34Z,2023-07-13T13:08:58Z
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYkz2,yehiatarek63,Announcements,"- Did some modifications in assignment 6 and 7
- Read up on htmx and did assignment 8
- Continued [PenPot](https://design.penpot.app/#/workspace/7bde5548-9bcb-8041-8002-ac3a3fdc1ddc/8ec95363-4e2c-80a4-8002-c4a952d3e9ff?page-id=8ec95363-4e2c-80a4-8002-c4a952d43c47) designs","Did some modifications in assignment 6 and 7
Read up on htmx and did assignment 8
Continued PenPot designs",2023-07-13T18:18:23Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYlD1,YoussefDarwishh,Announcements,"- Updated Assignment 5 Code
- Finished Assignment 6
- Finished Assignment 7
- Worked a bit on the [PenPot ](https://design.penpot.app/#/workspace/7bde5548-9bcb-8041-8002-ac3a3fdc1ddc/8ec95363-4e2c-80a4-8002-c4a952d3e9ff) Design

To be done:

- Continue work on the project
- Fix issues with assignment 6 that was given to be done","Updated Assignment 5 Code
Finished Assignment 6
Finished Assignment 7
Worked a bit on the PenPot  Design

To be done:

Continue work on the project
Fix issues with assignment 6 that was given to be done",2023-07-13T20:33:51Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYlIm,nourhanhelmy1,Announcements,"### Done
- Finished assignment 6
- Finished assignment 7

### **To be Done**
- Finish assignment 8
- Fix issue in assignment 5
- meet with my teammate to discuss and edit our problem statement for the project","Done

Finished assignment 6
Finished assignment 7

To be Done

Finish assignment 8
Fix issue in assignment 5
meet with my teammate to discuss and edit our problem statement for the project",2023-07-13T21:27:40Z,
